
Tarifa: Publico general 2026

Tipo,Código,Abreviatura,Descripción,Importe
Pruebas,1771,FACTORCOAGULACION,FACTOR VIII DE LA COAGULACION,370
Pruebas,2250,FACWILLE,Factor Von Willebrand (función)*,2205
Pruebas,FENILA B,FENILAL,FENILALANINA,0
Pruebas,FENILALANINA,FENILALANINA,FENILALANINA,0
Pruebas,86,fen,Fenobarbital,635
Pruebas,87,Ferriti,FERRITINA,650
Pruebas,88,FIB,FIBRINOGENO,458
Pruebas,0304,FGPRUEBAINDIVIDUAL,FILTRADO GLOMERULAR,0
Pruebas,92,FOSACID,Fosfatasa acida total,315
Pruebas,93,FOSAPSA,Fosfatasa acida/fracción prostática,435
Pruebas,95,alp,Fosfatasa alcalina (ALP),185
Pruebas,10,ALKFEL,FOSFATASA ALCANINA FEL,0
Pruebas,96,fosfo,Fosfolípidos,260
Pruebas,9733,FOSFUR24,FOSFORO EN ORINA DE 24 Hrs.,0
Pruebas,97,PHOS,Fósforo sérico,235
Pruebas,1013,FRACPROS,Fracción prostática,0
Pruebas,168,FRAGOSM,Fragilidad osmótica eritrocitaria,0
Pruebas,100,fruc,Fructosamina,1025
Pruebas,101,GGT,Gammaglutamil transpeptidasa (GGT),208
Pruebas,104,GAST,GASTRINA,0
Pruebas,67876,GeneN,Gene N,0
Pruebas,221,VPH221,GENOTIPO 16 VPH,0
Pruebas,222,VPH222,GENOTIPO 18 VPH,0
Pruebas,223,VPH223,GENOTIPO 31 VPH,0
Pruebas,224,VPH224,GENOTIPO 33 VPH,0
Pruebas,225,VPH225,GENOTIPO 35 VPH,0
Pruebas,226,VPH226,GENOTIPO 35 VPH,0
Pruebas,227,VPH227,GENOTIPO 39 VPH,0
Pruebas,228,VPH288,GENOTIPO 45 VPH,0
Pruebas,228,VPH228,GENOTIPO 51 VPH,0
Pruebas,229,VPH229,GENOTIPO 52 VPH,0
Pruebas,2210,VPH2210,GENOTIPO 56 VPH,0
Pruebas,2211,VPH2211,GENOTIPO 58 VPH,0
Pruebas,2212,VPH2212,GENOTIPO 59 VPH,0
Pruebas,2213,VPH2213,GENOTIPO 66 VPH,0
Pruebas,2214,VPH2214,GENOTIPO 68 VPH,0
Pruebas,GLICI B,GLICIN,GLICINA,0
Pruebas,GLICINA,GLICINA,GLICINA,0
Pruebas,globh,globh,globulinas,245
Pruebas,107,GLUCG,GLUCAGON,0
Pruebas,GLU,GLU,GLUCOSA,85
Pruebas,GLUCOSA 6 FOSFATO DESHIDROGENASA,GLUC6FOSDESH,GLUCOSA 6 FOSFATO DESHIDROGENASA NEONATAL,0
Pruebas,01,GLUCAN,GLUCOSA CAN,0
Pruebas,01,GLUCFEL,GLUCOSA FELINO,0
Pruebas,1018,glupost,GLUCOSA POSTPANDRIAL,85
Pruebas,GLUTA B,GLUTA,GLUTAMINA,0
Pruebas,08032023,GRUPOREMITIDO,GRUPO REMITIDO DE ALTO RIESGO,0
Pruebas,grupo,grupo,GRUPO SANGUÍNEO,105
Pruebas,120,Hapt,HAPTOGLOBINA,0
Pruebas,1992,HELICO,HELICOBACTER PYLORI EN HECES,595
Pruebas,FW,HEMOCULTIVO,HEMOCULTIVO,1178
Pruebas,HEMOGLOBINA A,ELEHEMO,HEMOGLOBINA A,0
Pruebas,HEMOGLOBINA A2,ELEHE,HEMOGLOBINA A2,0
Pruebas,HEMOGLOBINA C,ELHEM,HEMOGLOBINA C,0
Pruebas,HEMOGLOBINA D,ELHM,HEMOGLOBINA D,0
Pruebas,HEMOGLOBINA F,EHEMO,HEMOGLOBINA F,0
Pruebas,HEMOGLOBINA G,ELECHEM,HEMOGLOBINA G,0
Pruebas,HBAIC,HBAIC,HEMOGLOBINA GLUCOSILADA,388
Pruebas,HEMOGLOBINA S,ELECHEMO,HEMOGLOBINA S,0
Pruebas,132,HIDROP,HIDROXIPROLINA,0
Pruebas,133,FE,HIERRO SERICO,235
Pruebas,HISTI B,HISTI,HISTIDINA,0
Pruebas,HOMOCISTEÍNA,HOMOC,HOMOCISTEÍNA,715
Pruebas,22000,CXHERN,Honorarios cirugia,26880
Pruebas,134,ACTH,HORMONA ADRENOCORTICOTRÓFICA,575
Pruebas,4439-Hormona MULERIANA,4439HMULERIAN,Hormona anti muleriana AMH/MIS,1780
Pruebas,137,HORMONACRECIMIENTO,HORMONA DE CRECIMIENTO,435
Pruebas,TSH1,TSH1,HORMONA ESTIMULANTE DE TIROIDES (TSH),200
Pruebas,139-OR,FSH,HORMONA FOLICULO ESTIMULANTE (FSH),275
Pruebas,139-MSC-O,FSHMAS,HORMONA FOLICULO ESTIMULANTE (FSH),0
Pruebas,141-MSC-O,HLMAS,HORMONA LUTEINIZANTE (HL),0
Pruebas,141-OR,HL,HORMONA LUTEINIZANTE (HL),275
Pruebas,HORMONA PARATIROIDEA ,hpt,HORMONA PARATIROIDEA ,0
Pruebas,PDLIPIDOS,INAT,INDICE ATEROGENICO,0
Pruebas,LIPQS32,INALIPQS,INDICE ATEROGENICO,0
Pruebas,PDCP2,PDCP2,ÍNDICE DE CASTELLI II,0
Pruebas,IPSAL,IPSAL,INDICE DE PSA LIBRE,0
Pruebas,INSHOMAIR,INSHOMAIR,INDICE HOMA-IR,380
Pruebas,shs,shs,INDUCCIÓN DE DREPANOCITOS,200
Pruebas,3334,INFLUENB,INFLUENZA B,0
Pruebas,144,IgA,INMUNOGLOBULINA A,438
Pruebas,146,IgG,INMUNOGLOBULINA G,370
Pruebas,147,IgM,INMUNOGLOBULINA M,348
Pruebas,145,IgE,INMUNOGLOBULINAS E,425
Pruebas,INMUNOTRIPSINA,INMUNOTRIPSINA,INMUNOTRIPSINA REACTIVA NEONATAL,0
Pruebas,INS,INS,INSULINA,428
Pruebas,8,ISODHL,Isoenzimas de deshidrogenasa láctica (LDH),1638
Pruebas,LEUCINA+ISOLEUCINA,LEUISO,ISOLECINA/LEUCINA,0
Pruebas,LEU+ISO B,LEUCINAISOLEUCINA,LEUCINA + ISOLEUCINA,0
Pruebas,160,LIP,LIPASA SERICA,325
Pruebas,LISI B,LISI,LISINA,0
Pruebas,164,LIT,LITIO SERICO,0
Pruebas,165,MG,MAGNESIO SERICO,235
Pruebas,2 MERCAPTO ETANOL,MERCET,MERCAPTO ETANOL,1038
Pruebas,0305,MERC,MERCURIO,880
Pruebas,334,METANEU,METAPNEUMOVIRUS,0
Pruebas,METIO B,METIO,METIONINA,0
Pruebas,METIONINA,METION,METIONINA,0
Pruebas,169,MORF,MORFINA,0
Pruebas,RXM,RXM,MUÑECA AP Y LAT,0
Pruebas,3007,MYCOGENITA,MYCOPLASMA GENITALIUM,0
Pruebas,3007,MYCOHOMINIS,MYCOPLASMA HOMINIS,0
Pruebas,3007,NEISSERIA,NEISSERIA GONORRHOEAE,0
Pruebas,NS1,NS1,NS1,505
Pruebas,ORNITINA ,ORNITINA,ORNITINA,0
Pruebas,ONITI B,ORNITI,ORNITINA,0
Pruebas,175,OSMO,OSMOLARIDAD SERICA,0
Pruebas,176,OSMOURI,OSMOLARIDAD URINARIA,0
Pruebas,OXCAL24,OXCAL24,Oxalato en orina de 24 hrs.,1385
Pruebas,157,OXIURO,OXIURO,0
Pruebas,ORT24-2,ANCAMPO,p-ANCA/MPO (MIELOPEROXIDASA),0
Pruebas,CCD,DCDC,PAGO DE EQUIPO GENIUS KT6200,12938
Pruebas,PAPLI,PAPLI,PAPANICOLAO EN BASE LIQUIDA,708
Pruebas,PAP,PAP,PAPANICOLAOU (CITOLOGIA CERVICO – VAGINAL),395
Pruebas,3334,PARAINFLU2,PARAINFLUENZA 2,0
Pruebas,3334,PARAINFLU3,PARAINFLUENZA 3,0
Pruebas,3334,PARAINFLUE4,PARAINFLUENZA 4,0
Pruebas,gresg,gsrgbs,PARATOHORMONA,650
Pruebas,895,895,PATRÓN DE INMUNOFLUORESCENCIA,0
Pruebas,98987465,CHLAM,PCR CHLAMYDIA,2360
Pruebas,170,PCRDMBTB,PCR DETECCION MYCOBACTERIUM TUBERCULOSIS,0
Pruebas,PCRUL,PCRUL,PCR ULTRASENSIBLE,648
Pruebas,PF4128,PINF4128,PCR VIRUS DE PAPILOMA HUMANO 1,0
Pruebas,4424,PCRVPH14,PCR VPH 14 GENOTIPOS DE ALTO RIESGO,2880
Pruebas,392-ORTHIN,PATERADN,PCR-PRUEBA DE PATERNIDAD (EN PADRE E HIJO)*,5825
Pruebas,178-OR,PEPC,PEPTIDO C,478
Pruebas,2849,paa,Perfil Alergico (40 elementos),4275
Pruebas,PDT2,PDT2,PERFIL DE TORCH 2,2325
Pruebas,TUMF,TUMF,PERFIL TUMORAL FEMENINO,2330
Pruebas,03042023,PESO,PESO,0
Pruebas,0405,PMODIUM,PLASMODIUM (GOTA GRUESA),100
Pruebas,0305,PL,PLOMO,880
Pruebas,222,PORFO,PORFOBILINOGENO ORINA 24 HRS.,0
Pruebas,219,K,POTASIO,195
Pruebas,220,KUR,POTASIO URINARIO,0
Pruebas,0815,CULPRE,PRELIMINAR DE CULTIVO 24 HRS,616
Pruebas,223,PRIMID,PRIMIDONA (MYSODINE),0
Pruebas,FRWE,PNAU,PRO BNP,1810
Pruebas,PTC,PROCAL,PRO-CALCITONINA,940
Pruebas,PROGE,PROGE,PROGESTERONA,330
Pruebas,225,PROL,PROLACTINA,430
Pruebas,PROLINA,PROLINA,PROLINA,0
Pruebas,PCR,PCR,PROTEINA C REACTIVA,180
Pruebas,PROT-S,PROTS,PROTEINAS TOTALES,158
Pruebas,PIE,PIE,PRUEBA INMUNOLOGICA DE EMBARAZO,129
Pruebas,RXTOB,RXTOB,RC TOBILLO AP Y LATERAL,650
Pruebas,ALBCRE,ALBCRE,RELACIÓN ALBUMINA CREATININA,0
Pruebas,240,REN,RENINA,0
Pruebas,RET,RET,RETICULOCITOS,130
Pruebas,11223344,REVILA,REVISION DE LAMINILLA,520
Pruebas,3334,RINOVIRUS,RINOVIRUS  ABC-HRV,0
Pruebas,ROSA DE BENGALA,RDB,ROSA DE BENGALA,520
Pruebas,RUBEOIGG,RUBEOIGG,Rubéola  IgG,590
Pruebas,UK,ETYJ,RX COLUMNA LUMBAR,778
Pruebas,SOC,SOC,SANGRE OCULTA EN HECES,215
Pruebas,7766,Accuabti,SARS-CoV-2 IgM/IgG CUANTIFICACION,1035
Pruebas,VSG,VSG,SEDIMENTACION GLOBULAR,115
Pruebas,SERI B,SERI,SERINA,0
Pruebas,NA,NA,SODIO,195
Pruebas,215,cd4,SUBPOBLACION DE LINFOCITOS CD4 CD8,3080
Pruebas,SUCCINILACETONA,SUCCINILACETONA,SUCCINILACETONA,0
Pruebas,TUC,TUC,T-UPTAKE CAPTACION,0
Pruebas,T3L,T3L,T3 LIBRE (TRIYODOTIRONINA LIBRE),200
Pruebas,T3T,T3T,T3 TOTAL (TRIYODOTIRONINA TOTAL),230
Pruebas,T4LI,T4LI,T4 LIBRE (TIROXINA LIBRE),265
Pruebas,T4T,T4T,T4 TOTAL (TIROXINA TOTAL),200
Pruebas,T4Y,T4Y,T4 YODO,0
Pruebas,TACCRES,TACCRES,TAC CRANEO SIMPLE,3235
Pruebas,TAC,TACC,TAC CRANEO SIMPLE Y CONTRASTADA NÚCLEO DE DIAGNOSTICO,3625
Pruebas,03042023,03042023,TALLA,0
Pruebas,HSRE,HSRT,TELE DE TORAX,0
Pruebas,256-OR,TEST,TESTOSTERONA TOTAL,455
Pruebas,256-MS-O,TESTMS,TESTOSTERONA TOTAL,0
Pruebas,TESLI,TESLI,TESTOTERONA LIBRE,455
Pruebas,TGO,TGO,TGO,158
Pruebas,TGP,TGP,TGP,158
Pruebas,TDC,TDC,TIEMPO DE COAGULACION,95
Pruebas,TDS,TDS,TIEMPO DE SANGRADO,95
Pruebas,TPT,TPT,TIEMPO PARCIAL DE TROMBOPLASTINA,155
Pruebas,271-ORT,TIROGLO,TIROGLOBULINA,405
Pruebas,TIRO B,TIROSI,TIROSINA,0
Pruebas,TIROSINA,TIROSINA,TIROSINA,0
Pruebas,TL,TL,TIROXINA LIBRE,410
Pruebas,T4 NEONATAL,T4NEONATAL,TIROXINA NEONATAL,0
Pruebas,TOMA,TOMA,TOMA,0
Pruebas,TOMADB,TOMADB,TOMOGRAFÍA CONTRASTADA DE ABDOMEN,0
Pruebas,TOXOIGG,TOXOIGG,TOXOPLASMA IgG,590
Pruebas,TOXOIGM,TOXOIGM,TOXOPLASMA IgM,590
Pruebas,279,Transferrina,TRANSFERRINA,388
Pruebas,TRAS,TRAS,TRASLADO TOMA,120
Pruebas,tra,trsalado,TRASLADO TOMA DE MUESTRA,0
Pruebas,TREONI B,TREONI,TREONINA,0
Pruebas,13072022,FTA,TREPONEMA PALLIDUM,725
Pruebas,3007,TRICHO,TRICHOMONAS VAGINALIS,0
Pruebas,TRI,TRI,TRIGLICERIDOS,95
Pruebas,15,TRIGCAN,TRIGLICERIDOS CANINO,0
Pruebas,14,TRIGFEL,TRIGLICERIDOS FELINO,0
Pruebas,3720,TROP,TROPONINA I DE ALTA SENSIBILIDAD,850
Pruebas,TSH NEONATAL,TSHN,TSH NEONATAL,0
Pruebas,TUB,TUBER,TUBERCULOSIS,930
Pruebas,US4D,US4D,ULTRASONIDO 4D,0
Pruebas,USGOB,USGOB,ULTRASONIDO OBSTETRICO,648
Pruebas,USGPROS,USGPROS,ULTRASONIDO PROSTATICO,778
Pruebas,USGEM,USGEM,ULTRASONIDO RIÑON,975
Pruebas,URE,URE,UREA,60
Pruebas,02,UREACAN,UREA CANINO,0
Pruebas,172,DEPUURE,UREA DE 24 Hrs,295
Pruebas,02,UREAFEL,UREA FELINO,0
Pruebas,3007,UREAPARVU,UREAPLASMA PARVUM,0
Pruebas,3007,UREAUREALY,UREAPLASMA UREALYTICUM,0
Pruebas,URG1,URG1,URGENCIA 1,115
Pruebas,UROCUL,UROCUL,UROCULTIVO,495
Pruebas,USGAB,USGAB,USG ABDOMINAL,715
Pruebas,USGABD,USGABD,USG ABDOMINAL,715
Pruebas,USGGINECOLOGICO,USGGINECOLOGICO,USG GINECOLOGICO,650
Pruebas,NBFG,SYNJ,USG OBSTETRICO DOMINGO,778
Pruebas,452,uren,usg renal y vias urinas,648
Pruebas,MED,USG,USG TESTICULAR,778
Pruebas,0011334466,USGPE,USG. PELVICO,525
Pruebas,VALINA,VALINA,VALINA,0
Pruebas,VALI B,VALIN,VALINA,0
Pruebas,22OM,22OM,VARIANTE  ÓMICRON (B.1.1.529),0
Pruebas,B.1.1.7,22VA,VARIANTE ALPHA (B.1.1.7),0
Pruebas,22BG,22BG,VARIANTE BETA O GAMMA (B.1.351 O P.1),0
Pruebas,22DE,22DE,VARIANTE DELTA (B.1.617.2),0
Pruebas,VDRL,VDRL,VDRL,140
Pruebas,23S,VHS2IgG,VHS2IgG,805
Pruebas,23S-,VHS2,VHS2IgM,0
Pruebas,3334,VIRUSSINCITIALB,VIRUS SINCIAL RESPIRATORIO B,0
Pruebas,65874984,RSV,VIRUS SINCITIAL RESPIRATORIO,560
Pruebas,3334,VIRUSSINCIA,VIRUS SINCITIAL RESPIRATORIO A,0
Pruebas,291,VITB12,VITAMINA B12,555
Pruebas,1101 VITAMINA D (25-HIDROXI),VITAMINA,VITAMINA D (25-HIDROXI),1295
Pruebas,WE,YODOBUTANOLICO,YODO BUTANOLICO,0
Pruebas,YP,YP,YODO PROTEÍCO,0
Pruebas,ZINC,ZN,ZINC EN SUERO,620
