Examen,Examen,Examen,Estudios del examen,Estudios del examen,
3629-ORTH,CINH,CINETICA DE HIERRO,133,HIERRO SERICO,
11111,testdeOSullivan,Tamiz de O´Sullivan,GLU,GLUCOSA,
11111,testdeOSullivan,Tamiz de O´Sullivan,glu2UYU,GLUCOSA 60,
230,PROTEINASTOTALESORINA24HRS,PROTEINAS TOTALES ORINA 24 HRS,PROTEINAS,PROTEÍNAS URINARIAS,
230,PROTEINASTOTALESORINA24HRS,PROTEINAS TOTALES ORINA 24 HRS,VOLUMEN,VOLUMEN REMITIDO,
230,PROTEINASTOTALESORINA24HRS,PROTEINAS TOTALES ORINA 24 HRS,PROTEINAS,PROTEINAS TOTALES EN  ORINA 24 HRS,
62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,62,CREATININA URINARIA,
62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,50,Creatinina sérica,
62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,VOLUMEN,VOLUMEN REMITIDO,
62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,53,CREATININA EN ORINA DE 24 Hrs.,
58,cur120,Curva de tolerancia a la glucosa (120 min),glu2UYU,GLUCOSA 60,
58,cur120,Curva de tolerancia a la glucosa (120 min),GLU,GLUCOSA,
58,cur120,Curva de tolerancia a la glucosa (120 min),GLU120,GLUCOSA 120,
RETSSS,RETSS,RETICULOCITOS,RET,RETICULOCITOS,
RETSSS,RETSS,RETICULOCITOS,ABSRETIS,RETICULOCITOS ABSOLUTOS,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,LEU+ISO B,LEUCINA + ISOLEUCINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,METIO B,METIONINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,FENILA B,FENILALANINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,VALI B,VALINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,ACI GLUTA B,ACIDO GLUTAMICO,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,TREONI B,TREONINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,GLICI B,GLICINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,SERI B,SERINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,ACI ASPA B,ACIDO ASPARGICO,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,ONITI B,ORNITINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,LISI B,LISINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,HISTI B,HISTIDINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,TIRO B,TIROSINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,ALANI B,ALANINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,GLUTA B,GLUTAMINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,CITRU B,CITRULINA ,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,ARGI B,ARGININA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,CISTE B,CISTEINA,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,HEMOGLOBINA S,HEMOGLOBINA S,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,TSH NEONATAL,TSH NEONATAL,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,T4 NEONATAL,TIROXINA NEONATAL,
tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,417,17 ALFA HIDROXI-PROGESTERONA NEONATAL (17aOHP4NEO),
506,PFantiANA,Perfil de antinucleares ANA,500,Ac. anti RNP,
506,PFantiANA,Perfil de antinucleares ANA,PERF3742,Acs. anti Sm (Smith),
506,PFantiANA,Perfil de antinucleares ANA,297,AC. ANTI DNA*,
506,PFantiANA,Perfil de antinucleares ANA,503,Acs. anti SS-A/Ro60,
506,PFantiANA,Perfil de antinucleares ANA,504,Acs. anti SS-A/Ro52,
506,PFantiANA,Perfil de antinucleares ANA,505,Acs. anti SS-B/La,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,YP,YODO PROTEÍCO,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,TUC,T-UPTAKE CAPTACION,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,ITL,"INDICE DE TIROXINA LIBRE (ITL,FTI)",
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,T3L,T3 LIBRE (TRIYODOTIRONINA LIBRE),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,T4LI,T4 LIBRE (TIROXINA LIBRE),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,T3T,T3 TOTAL (TRIYODOTIRONINA),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,T4T,T4 TOTAL (TIROXINA TOTAL),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,T4Y,T4 YODO,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,TSH1,HORMONA ESTIMULANTE DE TIROIDES (TSH),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,WE,YODO BUTANOLICO,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,HCREC,HORMONA DEL CRECIMIENTO,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,COR,CORTISOL,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,256-OR,TESTOSTERONA TOTAL,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,77,Estradiol (E2),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,141-OR,HORMONA LUTEINIZANTE (HL),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,139-OR,HORMONA FOLICULO ESTIMULANTE (FSH),
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,225,PROLACTINA,
1341,PERFHFEM,PERFIL HORMONAL FEMENINO,PROGE,PROGESTERONA,
553,ACSARAM,Acs. Anti Sarampión IgG e IgM,888,Ac. Anti Sarampión IgG,
553,ACSARAM,Acs. Anti Sarampión IgG e IgM,999,Ac. Anti Sarampión IgM,
22941,cis,Cistatina C y Tasa de filtrado,Cistatina,Cistatina C,
22941,cis,Cistatina C y Tasa de filtrado,0304,FILTRADO GLOMERULAR,
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,56,Anticuerpo de envoltura de Hepatitis B (HBeAb),
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,53,"ANTIGENO ""E"" DE HEPATITIS B (AGEHB)",
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,54,"ANTIGENO ""S"" DE HEPATITIS B (AUSTRALIA)",
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,55,Anticuerpo de superficie de HEPATITIS B (HBSAb),
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,51,"ANTICUERPOS ANTI HEPATITIS ""A"" TOTALES (HAV-TOTAL)",
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,52,"ANTICUERPOS ANTI HEPATITIS ""A"" IgG (HAV-G)",
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,59,ANTICUERPOS ANTI HEPATITIS C (PRUEBA PRESUNTIVA),
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,57,"ANTICUERPOS ANTI Ag ""CORE"" HEPATITIS B IgM",
998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,58,Anticuerpo de nucleo de la hepatitis B (HBcAB),
COVID19,COVID19,SARS-CoV2 IgG/IgM,CoV2IgG,SARS-CoV2 IgG,
COVID19,COVID19,SARS-CoV2 IgG/IgM,CoV2IgM,SARS-CoV2 IgM,
4729,PCRSARS-CoV-2,PCR SARS-CoV-2 (COVID-19),67876,Gene N,
4729,PCRSARS-CoV-2,PCR SARS-CoV-2 (COVID-19),Y765,Gene E,
4729,PCRSARS-CoV-2,PCR SARS-CoV-2 (COVID-19),6586,Gene RdRp,
564,TP,TIEMPO DE PROTROMBINA,%ACTIVIDAD,% ACTIVIDAD,
564,TP,TIEMPO DE PROTROMBINA,INR,INR,
564,TP,TIEMPO DE PROTROMBINA,01,TIEMPO DE PROTROMBINA,
212,FOSFAPSA 1,FOSFATASA ACIDA FRACCION PROSTATICA,92,Fosfatasa acida total,
212,FOSFAPSA 1,FOSFATASA ACIDA FRACCION PROSTATICA,93,Fosfatasa acida/fracción prostática,
001,CH-CAN,CITOMETRIA CANINO,miel,Mielocitos,
001,CH-CAN,CITOMETRIA CANINO,PROM,PROMIELOCITOS,
001,CH-CAN,CITOMETRIA CANINO,BLAS,BLASTOS,
001,CH-CAN,CITOMETRIA CANINO,meta,Metamielocitos,
001,CH-CAN,CITOMETRIA CANINO,01,ERITROCITOS,
001,CH-CAN,CITOMETRIA CANINO,04,HEMATOCRITO,
001,CH-CAN,CITOMETRIA CANINO,02,HEMOGLOBINA,
001,CH-CAN,CITOMETRIA CANINO,VCMP,VOLUMEN CORPOSCULAR MEDIO,
001,CH-CAN,CITOMETRIA CANINO,HCMP,HEMOGLOBINA CORPOSCULAR MEDIA,
001,CH-CAN,CITOMETRIA CANINO,MCHCP,CONCENTRACIÓN DE HEMOGLOBINA CORPUSCULAR MEDIA,
001,CH-CAN,CITOMETRIA CANINO,RDWP,ANCHO DISTRIBUCIÓN ERITROCITARIA,
001,CH-CAN,CITOMETRIA CANINO,LEUCTP,LEUCOCITOS,
001,CH-CAN,CITOMETRIA CANINO,PLAP,PLAQUETAS,
001,CH-CAN,CITOMETRIA CANINO,NEUP,NEUTROFILOS,
001,CH-CAN,CITOMETRIA CANINO,NEUPAB,NEUTROFILOS,
001,CH-CAN,CITOMETRIA CANINO,ABSBANP,BANDAS,
001,CH-CAN,CITOMETRIA CANINO,BANP,BANDAS,
001,CH-CAN,CITOMETRIA CANINO,LINP,LINFOCITOS,
001,CH-CAN,CITOMETRIA CANINO,LINABP,LINFOCITOS,
001,CH-CAN,CITOMETRIA CANINO,MONP,MONOCITOS,
001,CH-CAN,CITOMETRIA CANINO,MONABSP,MONOCITOS,
001,CH-CAN,CITOMETRIA CANINO,EOABSP,EOSINOFILOS,
001,CH-CAN,CITOMETRIA CANINO,EOP,EOSINOFILOS,
001,CH-CAN,CITOMETRIA CANINO,BASP,BASOFILOS,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,TOXOIGG,TOXOPLASMA IgG,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,TOXOIGM,TOXOPLASMA IgM,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,VHS1/2IgG,VHS 1/2 IgG,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,VHS1/2IgM,VHS 1/2 IgM,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,RUBEOIGG,Rubéola  IgG,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,RUBEOIGM,Rubéola  IgGM,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,IgGCMV ,CITOMEGALOVIRUS IgG,
197,PERFITORCH,PERFIL DE TORCH IgG-IgM,IgMCMV ,CITOMEGALOVIRUS IgM,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,016,ACIDO URICO CANINO,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,01,GLUCOSA CAN,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,02,UREA CANINO,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,03,CREATININA CANINO,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,04,COLESTEROL CANINO,
QSCAN,QSC,QUIMICA SANGUINEA CANINO,15,TRIGLICERIDOS CANINO,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,6554,ACIDO URICO URINARIO 24 HR,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,9733,FOSFORO EN ORINA DE 24 Hrs.,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,9489419,CREATININA URINARIA,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,33598,FOSFORO URINARIO,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,161345,CALCIO EN ORINA,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,VOLUMEN,VOLUMEN REMITIDO,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,53,CREATININA EN ORINA DE 24 Hrs.,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,sdc,ÁCIDO ÚRICO URINARIO,
31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,646468,CALCIO EN ORINA DE 24 HRS.,
06,ELECTRO,ELECTRORITOS SERICOS 6,219,POTASIO,
06,ELECTRO,ELECTRORITOS SERICOS 6,NA,SODIO,
06,ELECTRO,ELECTRORITOS SERICOS 6,165,MAGNESIO SERICO,
06,ELECTRO,ELECTRORITOS SERICOS 6,25,CLORO SÉRICO,
06,ELECTRO,ELECTRORITOS SERICOS 6,97,Fósforo sérico,
06,ELECTRO,ELECTRORITOS SERICOS 6,CA S,CALCIO,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,417,17 ALFA HIDROXI-PROGESTERONA NEONATAL (17aOHP4NEO),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMOGLOBINA A,HEMOGLOBINA A,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,T4 NEONATAL,TIROXINA NEONATAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,TSH NEONATAL,TSH NEONATAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMOGLOBINA C,HEMOGLOBINA C,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMOGLOBINA S,HEMOGLOBINA S,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMOGLOBINA F,HEMOGLOBINA F,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMOGLOBINA A2,HEMOGLOBINA A2,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,INMUNOTRIPSINA,INMUNOTRIPSINA REACTIVA NEONATAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,GLUCOSA 6 FOSFATO DESHIDROGENASA,GLUCOSA 6 FOSFATO DESHIDROGENASA NEONATAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,GALACTOSA URIDIL TRANSFERASA,GALACTOSA URIDIL TRANSFERASA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,BIOTINIDASA,BIOTINIDASA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,FENILALANINA,FENILALANINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,LEUCINA+ISOLEUCINA,ISOLECINA/LEUCINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,TIROSINA,TIROSINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,VALINA,VALINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,METIONINA,METIONINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,ARGININA,ARGININA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,CITRULINA,CITRULINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,ORNITINA ,ORNITINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,GLICINA,GLICINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,ALANINA,ALANINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,PROLINA,PROLINA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,SUCCINILACETONA,SUCCINILACETONA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C0 ,C0,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C10,C10,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C10:1 ,C10:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C10:2,C10:2,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C12 ,C12,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C12:1,C12:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C14 ,C14,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C14 HIDROXI,C14 HIDROXI,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C14:1 ,C14:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C14:2 ,C14:2,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C16,C16,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C16:1,C16:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C16 HIDROXI,C16 HIDROXI,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C18,C18,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C18:1 HIDROXI,C18:1 HIDROXI,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C18:1,C18:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C18 HIDROXI,C18 HIDROXI,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C18:2 ,C18:2,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C2 ,C2,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C3,C3,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C4 ,C4,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C4DC5OH,C4 DICARBOXILICO-C5 OH,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C5,C5,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C5- DICARBOXILICO,C5-DICARBOXILICO,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C5:1,C5:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C6- DICARBOXILICO,C6-DICARBOXILICO,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C6,C6,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C8,C8,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C8:1,C8:1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,254,GALACTOSA TOTAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,34 ,HIPERPLASIA SUPRARENAL,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,35,HIPOTIROIDISMO DE TIPO PRIMARIO ,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,1451,"ACIDEMIA GLUTARICA, TIPO II (GA-2)",
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,1245,DEFECTO DE CARNITINA LIBRE (CUD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12453,ACILCOA DESHIDROGENASA (VLCAD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12454,L-3 HIDROXIACIL-COA DESHIDROGENASA,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12455,ACIL-COA DESHIDROGENASA (MCAD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12456,CETOACIL-COA THIOLASA (MCAT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12458,ACILCO-A DESHIDROGENASA (SCAD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12459,PROTEINA TRIFUNCIONAL (TFP),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C16:1 HIDROXI,C16:1 HIDROXI,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124591,"2,4 DIENOL-COA REDUCTASA (DE RED)",
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,12452,2-METIL-3-HIDROXIBUTIRICO ACIDEMIA (2M3HBA),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124593,2-METILBUTIRILGLICINURIA (2MBG),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,C3 DICARBOXILICO-C4 - OH,C3 DICARBOXILICO-C4-OH,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124594,3-HIDROXI-3-METILGLUTARICO ACIDURIA (HMG),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124594,3-METILGLUTACONICO ACIDURIA (3MGA),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124595,ISOBUTIRLGLICINURIA (IBG),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124596,ARGINEMIA (ARG),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124597,HIPERFENILALANINEMIA BENIGNA (H-PHE),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124598,"CITRULINEMIA, TIPO 1 (CIT)",
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124599,FENILCETONURIA CLASICA (PKU),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124591,HIPERMETIONINEMIA (MET),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124592,ENFERMEDAD DE JARABE DE MAPLE (MSUD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124593,NO CETONICA HIPERGLICEMIA (NKH),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124594,PROLINEMIA  (PRO),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124595,TIROSINEMIA TIPO 1 (TYR1),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124596,GLUTARICA TIPO 1 (GA1),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,87,BETA-CETOLIASA (BKT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124596,ISOVALERICA (IVA),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124597,MALONICA (MAL),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,88,HOLOCARBOXILASASINT(MCD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124598,"METILMALONICA (COBALAMINA) (CBL A, B)",
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124598,METILMALONICA (MUT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,89,3-METILCROTONIL-CoA-carboxilasa (3-MCC),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,124599,METILMALONICA CON HOMOCISTINURIA (MUTHO),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,90,ORNITINA TRANSCARBAMILASA (OCT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,1245911,PROPIONICA (PROP),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,89 ,HEMOGLOBINOPATIAS (Var Hb),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,99,S. Beta- talasemia (Hb-S/BTh),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,ENFHEM,ENFERMEDAD DE HEMOGLOBINOPATIA S.C (Hb S/C),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,ANCELFAL,ANEMIA DE CELULAS FALCIFORMES (Hb SS),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,HEMC,HEMOGLOBINOPATIA C,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,97,DEFICIENCIA DE BIOTINIDASA (BIOT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,54,Galactosemia clásica (ALT),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,55,FIBROSIS QUISTICA(CF),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,58,Glucosa-6-fosfato deshidrogenasa (G6PD),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,54,Mucopolisacaridosis tipo I (Hurler),
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,54,ENFERMEDAD DE POMPE,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,58,ENFERMEDAD DE KRABE,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,25,ENFERMEDAD DE FABRY,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,58,HUNTER,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,52,MORQUIO,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,58,MAROTEAUX LAMY,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,41,SANFILIPPO,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,47,SLY,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,58,LANDING (GM 1 TIPO 1) CELULAS 1,
11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,95,POLIDISTROFIA PSEUDO HURLER,
ANTIRO,ANTIRO,ANTICUERPOS ANTI TIROIDEOS,65,ANTICUERPOS ANTI TIROGLOBULINA (COLOIDE TIROIDEO),
ANTIRO,ANTIRO,ANTICUERPOS ANTI TIROIDEOS,425,ANTICUERPOS ANTI MICROSOMALES TOTALES (PEROXIDASA),
ANTITB,ANTI TUBERCULOSIS,ANTICUERPOS ANTI TUBERCULOSIS,ANTITB,ANTICUERPOS ANTI TUBERCULOSIS IgM,
ANTITB,ANTI TUBERCULOSIS,ANTICUERPOS ANTI TUBERCULOSIS,ANTITBS,ANTICUERPOS ANTI TUBERCULOSIS IgG,
CWE,HEPATITISA,HEPATITIS A TOTALES,52,"ANTICUERPOS ANTI HEPATITIS ""A"" IgG (HAV-G)",
CWE,HEPATITISA,HEPATITIS A TOTALES,AHA,"ANTICUERPOS ANTI HEPATITIS ""A"" IgM (HAV-M)",
3021,ANT HEP A,"HEPATITIS ""A"" ANTICUERPOS IgG- IgM",AHA,"ANTICUERPOS ANTI HEPATITIS ""A"" IgM (HAV-M)",
3021,ANT HEP A,"HEPATITIS ""A"" ANTICUERPOS IgG- IgM",52,"ANTICUERPOS ANTI HEPATITIS ""A"" IgG (HAV-G)",
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,WE,YODO BUTANOLICO,
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,HCREC,HORMONA DEL CRECIMIENTO,
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,YP,YODO PROTEÍCO,
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,ITL,"INDICE DE TIROXINA LIBRE (ITL,FTI)",
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,TUC,T-UPTAKE CAPTACION,
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,TSH1,HORMONA ESTIMULANTE DE TIROIDES (TSH),
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,T4T,T4 TOTAL (TIROXINA TOTAL),
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,T3T,T3 TOTAL (TRIYODOTIRONINA),
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,T3L,T3 LIBRE (TRIYODOTIRONINA LIBRE),
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,T4LI,T4 LIBRE (TIROXINA LIBRE),
1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,T4Y,T4 YODO,
