Id_examen,Codigo,Abreviatura,Descripcion,Titulo,Tiempo_proceso,Metodo,Permite_venta_directa,Costo,Comision,Sexo,Indicaciones,Notas,Notas_internas,Titulo_alineacion,Titulo_color,
329,62,DEPUCREATI24HRS,DEPURACION CREATINA EN ORINA 24 HRS,DEPURACION CREATINA EN ORINA 24 HRS,,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,,,"Suero 2 mL y orina de 24 hrs, alícuota 10 mL. Indicar volumen total de la orina, el peso y talla del paciente.",Alineado al centro,,
330,58,cur120,Curva de tolerancia a la glucosa (120 min),Curva de tolerancia a la glucosa (120 min),,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
332,RETSSS,RETSS,RETICULOCITOS,RETICULOCITOS,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
333,tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÁSICO,TAMIZ METABOLICO NEONATAL BÁSICO, 6 días,Cromatografía en Capa Fina Flourometría,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
334,506,PFantiANA,Perfil de antinucleares ANA,Perfil de antinucleares ANA, 2 días,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
335,1341,PERFHFEM,PERFIL HORMONAL FEMENINO,PERFIL HORMONAL FEMENINO, 2 días,QUIMIOLUMINICENCIA (C.M.I.A),Si,0.00,0.00,Femenino,\n,\n,"
",Alineado al centro,,
336,553,ACSARAM,Acs. Anti Sarampión IgG e IgM,Acs. Anti Sarampión IgG e IgM, 3 días,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
337,22941,cis,Cistatina C y Tasa de filtrado,Cistatina C y Tasa de filtrado, 3 días,Inmunofluorescencia,Si,0.00,0.00,Ambos,Suero\n,\n,,Alineado a la izquierda,,
338,998877,MARCAHEPAT,MARCADORES DE HEPATITIS A.B y C,MARCADORES DE HEPATITIS A.B y C,,,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
339,COVID19,COVID19,SARS-CoV2 IgG/IgM,SARS-CoV2 IgG/IgM,,Inmunoinfluorescencia Indirecta,Si,0.00,0.00,Ambos,,Interpretación:\nIgM-/IgG- No hay evidencia de infección por SARS-CoV 2\nIgM+/IgG- Infección reciente sin anticuerpos protectores\nIgM+/IgG+ Infección reciente con anticuerpos protectores en\ndesarrollo\nIgM-/IgG+ Infección pasada con anticuerpos protectores.\nTener anticuerpos protectores IgG NO EXCLUYE LA POSIBILIDAD DE EVENTUAL REINFECCIÓN.\n,,Alineado a la izquierda,,
340,4729,PCRSARS-CoV-2,PCR SARS-CoV-2 (COVID-19),PCR SARS-CoV-2 (COVID-19), 1 día,PCR Tiempo Real,Si,0.00,0.00,Ambos,"*Medio UTM con: exudado faringeo/nasofaríngeo*, expectoración, 2mL fluido de lavado alveolar, no tomar antivirales 48 hr previo toma de muestra. Toma con hisopo de dracón o rayón. \n*Enviar el formato de estudio epidemiológico. Transporte de 2° - 8° C.",,,Alineado a la izquierda,,
341,564,TP,TIEMPO DE PROTROMBINA,TIEMPO DE PROTROMBINA,,COAGULOMETRICO AUTOMATIZADO,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
342,212,FOSFAPSA 1,FOSFATASA ACIDA FRACCION PROSTATICA,FOSFATASA ACIDA FRACCION PROSTATICA, 3 días,Espectrofotometría Automatizada,No,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
343,001,CH-CAN,CITOMETRIA CANINO,CH-CAN,,"CITOMETRIA DE FLUJO, MICROSCOPIA, IMPEDANCIA",Si,0.00,0.00,Ambos,,VALORES DE REFERENCIA ESPECIFICOS PARA CANINOS,,Alineado a la izquierda,,
345,126,AU ORI 24 HRS,ACIDO URCO EN ORINA DE 24 HRS ,ACIDO URCO EN ORINA DE 24 HRS ,,Espectrofotometría ,No,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
346,197,PERFITORCH,PERFIL DE TORCH IgG-IgM,PERFIL DE TORCH IgG-IgM,,Quimioluminiscencia,Si,0.00,0.00,Ambos,SE PROCESA AQUI,,,Alineado a la izquierda,,
347,QSCAN,QSC,QUIMICA SANGUINEA CANINO,QSCAN,,Colorimétrico Automatizado,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
348,31272,TFGORI,TASA DE FILTRADO GLOMERULAR ORINA,TASA DE FILTRADO GLOMERULAR ORINA, 1 día,Espectrofotometría Automatizada,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
349,06,ELECTRO,ELECTRORITOS SERICOS 6,ELECTRORITOS SERICOS 6,,Ion Selectivo,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
351,11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,TAMIZ NEONATAL AMPLIADO, 8 días,Electrofóresis,Si,0.00,0.00,Ambos,,,,Alineado a la izquierda,,
352,92126,AC ANTIPLAQUETARIOS,ANTICUERPOS ANTIPLAQUETARIOS,ANTICUERPOS ANTIPLAQUETARIOS, 7 días,Citometría de Flujo,Si,0.00,0.00,Ambos,,,,Alineado al centro,,
