Nombre del Producto,Identificador (No Cambiar),Es un Servicio,Se Vende,Descripción,Categoría,Marca,Unidad de Venta,Código de Barras,SKU,Variantes de Tamaño,Variantes de Color,Variantes de Material,Variantes de Estilo,Usa Lotes,Lote,Fabricación del Lote,Caducidad del Lote,Utiliza Stock,Stock Total ,Stock Mínimo ,Stock Apartado ,Ubicación ,Precio Público,Precio PERSONAL,Precio DESCUENTO PROMOCION,Costo,Impuestos,IVA,IEPS,Clave SAT,Receta Médica,Catálogo en Línea
TRIMETOPRIMA/SULFAMETOXAZOL 160MG/800MG TABLETA,trimetoprima-sulfametoxazol-160mg-800mg-tableta,No,Si,,ANTIBIOTICO,SON´S,Unidad,7502001169289,,,,,,Si,25061655,,01/06/2028,Si,0.00,,0.00,,$ 110.00,$ 26.00,,$ 25.69,No,,,,Si,Si
TRIMETOPRIMA/SULFAMETOXAZOL 160MG/800MG TABLETA,trimetoprima-sulfametoxazol-160mg-800mg-tableta_2,No,Si,MAVER,ANTIBIOTICO,MAVER,Unidad,7503000422283,,,,,,Si,253639,,01/07/2027,Si,1.00,,0.00,,$ 110.00,$ 21.00,,$ 20.99,No,,,,Si,Si
TRIMEBUTINA/SIMETICONA 0.60G/O.60G SUSPENSION,trimebutinasimeticona-060go60g-suspension,No,Si,PEDIATRICO ,MEDICAMENTO,MAVER,Unidad,7502009749148,,,,,,Si,253120,,01/03/2027,Si,1.00,,0.00,,$ 190.00,$ 82.00,,$ 81.29,No,,,,No,Si
TRIMEBUTINA  2G/100ML SUSPENSION  (GOTAS),trimebutina-suspension-2g100ml-gotas-pediatricas,No,Si,,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825300366,,,,,,Si,003C,,01/12/2027,Si,1.00,,0.00,,$ 110.00,$ 22.00,,$ 21.32,Si,16%,No aplica,,No,Si
TRIMEBUTINA 2G/100ML SUSPENSION,trimebutina-2g-100ml-suspension,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825300373,,,,,,Si,523C,,01/05/2028,Si,1.00,,0.00,,$ 110.00,$ 51.00,,$ 50.69,No,,,,No,Si
TRIMEBUTINA 200MG TABLETA,trimebutina-200mg-tableta,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825302599,,,,,,Si,618C,,01/06/2027,Si,1.00,,0.00,,$ 145.00,$ 59.00,,$ 58.39,No,,,,No,Si
TRIMEBUTINA 200MG TABLETA,trimebutina-200mg-tableta_2,No,Si,LIFERPAL MD,MEDICAMENTO,LIFERPAL MD,Unidad,7501836002969,,,,,,Si,25F066,,01/07/2027,Si,1.00,,0.00,,$ 145.00,$ 45.00,,$ 44.19,No,,,,No,Si
TOBRAMICINA/ DEXAMETASONA 3MG/1MG  UNGUENTO,trobramicina-dexametasona-3mg1mg-unguento,No,Si,,MEDICAMENTO,EXAKTA,Unidad,75050795,,,,,,Si,25213P,,01/04/2027,Si,0.00,,0.00,,$ 155.00,$ 59.00,,$ 58.96,No,,,,No,Si
TOBRAMICINA/ DEXAMETASONA 3mg/1mg/ML SOLUCION(GOTAS),tobramicinadexametazona-3mg1mgml,No,Si,LABORATORIOS GRIN,MEDICAMENTO,GRIN,Unidad,008400005823,,,,,,Si,,,,Si,0.00,,,,$ 145.00,$ 53.00,,$ 52.20,No,,,,No,Si
TOBRAMICINA 3 MG/ML SOLUCION OFTALMICO,tobramicina-3-mgml-oftalmico,No,Si,OPKO,MEDICAMENTO,EXACTA,Unidad,75050740,,,,,,Si,24108P,,01/02/2026,Si,0.00,,0.00,,$ 130.00,$ 63.00,,$ 62.24,No,,,,No,Si
TIMOLOL 0.5% GOTAS  OFTALMICA,timolol-0-5-gotas-oftalmica,No,Si,PIZZARD,MEDICAMENTO,,Unidad,75044824,,,,,,Si,,,,Si,0.00,,,,$ 78.00,$ 29.00,,$ 28.39,No,,,,No,Si
TIAMINA/PIRIDOXINA/CIANOCOBALAMINA 100 MG-5MG-0.05MG TABLETAS,tiaminapiridoxinacianocobalamina-100-mg-5mg-005mg-tabletas,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216803633,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 27.00,,$ 26.87,No,,,,No,Si
TERBINAFINA 250MG TABLETA (7),terbinafina-250mg-tableta-7,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211783657,,,,,,Si,R2508043A,,01/09/2027,Si,1.00,,0.00,,$ 160.00,$ 75.00,,$ 74.49,No,,,,No,Si
TERBINAFINA  250MG TABLETA (40),terbinafina-250mg-tableta-40,No,Si,LOEFFLER,MEDICAMENTO,,Unidad,7502211783671,,,,,,Si,,,,Si,0.00,,,,$ 280.00,$ 167.00,,$ 166.59,No,,,,No,Si
TERBINAFINA 250MG TABLETA (28),terbinafina-250mg-tableta-28,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211783787,,,,,,Si,R25070913,,01/07/2027,Si,1.00,,0.00,,$ 260.00,$ 122.00,,$ 121.10,No,,,,No,Si
