Nombre del Producto,Identificador (No Cambiar),Es un Servicio,Se Vende,Descripción,Categoría,Marca,Unidad de Venta,Código de Barras,SKU,Variantes de Tamaño,Variantes de Color,Variantes de Material,Variantes de Estilo,Usa Lotes,Lote,Fabricación del Lote,Caducidad del Lote,Utiliza Stock,Stock Total ,Stock Mínimo ,Stock Apartado ,Ubicación ,Precio Público,Precio PERSONAL,Precio DESCUENTO PROMOCION,Costo,Impuestos,IVA,IEPS,Clave SAT,Receta Médica,Catálogo en Línea
PIROXICAM 20MG CAPSULA,piroxicam-20mg-capsula,No,Si,SON'S,MEDICAMENTO,,Unidad,7502001165038,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 20.00,,$ 19.29,No,,,,No,Si
PIROXICAM 0.5% GEL,piroxicam-0-5-gel,No,Si,RAYERE,MEDICAMENTO,SON´S,Unidad,7502001165045,,,,,,Si,25041030,,01/07/2027,Si,5.00,,0.00,,$ 205.00,$ 27.00,,$ 26.08,No,,,,No,Si
PIROXICAM 0.5% GEL,piroxicam-0-5-gel_2,No,Si,LEPERPAL,MEDICAMENTO,,Unidad,7501836000675,,,,,,Si,,,,Si,0.00,,,,$ 205.00,$ 25.00,,$ 24.09,No,,,,No,Si
PIOGLITAZONA 30MG TABLETA,pioglitazona-30mg-tableta,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349024175,,,,,,Si,U25Y34G,,01/05/2027,Si,0.00,,0.00,,$ 110.00,$ 20.00,,$ 19.39,No,,,,No,Si
PIOGLITAZONA 30MG TABLETA,pioglitazona-30mg-tableta_2,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009744969,,,,,,Si,251714,,01/04/2027,Si,2.00,,0.00,,$ 110.00,$ 24.00,,$ 23.89,No,,,,No,Si
PIOGLITAZONA 30MG TABLETA,pioglitazona-30mg-tableta_3,No,Si,ULTRA,MEDICAMENTO,,Unidad,7502216798878,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 26.00,,$ 25.59,No,,,,No,Si
PIOGLITAZONA 30MG TABLETA,pioglitazona-30-mg-tabletas,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216805002,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 24.00,,$ 23.52,No,,,,No,Si
PICOSULFATO DE SODIO 5MG/5ML SOLUCION,picosulfato-de-sodio-5mg5ml-solucion,No,Si,FARMACOS CONTINENTALES,MEDICAMENTO,,Unidad,7502006922728,,,,,,Si,,,,Si,0.00,,,,$ 70.00,$ 25.00,,$ 24.69,No,,,,No,Si
PERMETRINA 5% CREMA,permetrina-5-crema,No,Si,PRODUCTOS FARMACEUTICOS,MEDICAMENTO,PRODUCTOS FARMACEUTICOS,Unidad,7501088559211,,,,,,Si,BEE059,,01/05/2029,Si,2.00,,0.00,,$ 298.00,$ 170.00,,$ 169.96,No,,,,No,Si
PENTOXIFILINA 400MG TABLETA ,pentoxifilina-400mg-tableta,No,Si,AMSA,MEDICAMENTO,,Unidad,7501349028487,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 51.00,,$ 50.19,No,,,,No,Si
PENTOXIFILINA 400MG TABLETA,pentoxifilina-400mg-tableta_2,No,Si,PSICOFARMA,MEDICAMENTO,,Unidad,7501384504946,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 61.00,,$ 60.59,No,,,,No,Si
PENTOXIFILINA 400 MG TABLETA,pentoxifilina-400-mg-tableta,No,Si,SERRAL,MEDICAMENTO,,Unidad,7501258204590,,,,,,Si,,,,Si,0.00,,,,$ 135.00,$ 74.00,,$ 73.39,No,,,,No,Si
PARACETAMOL/TRAMADOL 37.5 MG/325 MG TABLETAS,paracetamol-tramadol-37-5-mg-325-mg-tabletas,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075727463,,,,,,Si,C40135,,01/05/2027,Si,2.00,,0.00,,$ 115.00,$ 37.00,,$ 36.19,No,,,,No,Si
PARACETAMOL/ TRAMADOL 37.5MG/ 325MG TABLETA,paracetamol-tramadol-37-5mg-325mg-tableta,No,Si,OFFENBACH,MEDICAMENTO,OFFENBACH,Unidad,7502004402437,,,,,,Si,027025,,11/02/2027,Si,0.00,,0.00,,$ 115.00,$ 32.00,,$ 31.69,No,,,,No,Si
PARACETAMOL/ TRAMADOL 37.5MG/ 325MG TABLETA,paracetamol-tramadol-37-5mg-325mg-tableta_2,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009746215,,,,,,Si,,,,Si,0.00,,,,$ 115.00,$ 42.00,,$ 41.59,No,,,,No,Si
PARACETAMOL/TRAMADOL 325 mg/ 37.5 mg  TABLETAS,paracetamol-tramadol,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227876015,,,,,,Si,RMS183,,01/09/2027,Si,1.00,,0.00,,$ 115.00,$ 32.00,,$ 31.29,No,,,,No,Si
PARACETAMOL/IBUPROFENO 325MG-200MG TABLETAS,paracetamolibuprofeno-325mg-200mg-tabletas,No,Si,LIFERPAL MD,MEDICAMENTO,LIFERPAL MD,Unidad,7501836009661,,,,,,Si,25B007,,01/02/2027,Si,2.00,,0.00,,$ 85.00,$ 31.00,,$ 30.99,No,,,,No,Si
PARACETAMOL/ CAFEINA 500MG/50MG TABLETA,paracetamol-cafeina-500mg-50mg-tableta,No,Si,PERRIGO,MEDICAMENTO,,Unidad,7501109761388,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 16.00,,$ 15.09,No,,,,No,Si
PARACETAMOL/ CAFEINA 500MG/50MG COMPRIMIDO,paracetamol-cafeina-500mg-50mg-comprimido,No,Si,COLLIN'S,MEDICAMENTO,,Unidad,780083149888,,,,,,Si,,,,Si,0.00,,,,$ 80.00,$ 17.00,,$ 16.59,No,,,,No,Si
PARACETAMOL 750MG TABLETA (10),paracetamol-750-mg,No,Si,,MEDICAMENTO,MAVER,Unidad,7502009747052,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 8.00,,$ 7.99,No,,,,No,Si
PARACETAMOL 750MG TABLETA,paracetamol-750-mg-tabletas,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900269,,,,,,Si,SF2545,,01/06/2027,Si,0.00,,0.00,,$ 75.00,$ 8.00,,$ 7.59,No,,,,No,Si
PARACETAMOL 750MG TABLETA,paracetamol-750-mg-tabletas,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900269,,,,,,Si,SJ2546,,01/10/2027,Si,2.00,,0.00,,$ 75.00,$ 8.00,,$ 7.59,No,,,,No,Si
PARACETAMOL 750 MG TABLETA,paracetamol-750-mg-tableta,No,Si,RAYERE,MEDICAMENTO,,Unidad,7502003380149,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 21.00,,$ 20.79,No,,,,No,Si
PARACETAMOL 650MG TABLETA,paracetamol-650mg-tableta,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009746543,,,,,,Si,253432,,01/06/2027,Si,3.00,,0.00,,$ 65.00,$ 23.00,,$ 22.29,No,,,,No,Si
PARACETAMOL 500MG TABLETAS,paracetamol-500-mg-tabletas,No,Si,BRULUAGSA,MEDICAMENTO,,Unidad,7501537102357,,,,,,Si,,,,Si,0.00,,,,$ 50.00,$ 7.00,,$ 6.39,No,,,,No,Si
PARACETAMOL 500MG TABLETA(10),paracetamol-500mg-tableta,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900443,,,,,,Si,SJ2544,,10/01/2027,Si,0.00,,0.00,,$ 50.00,$ 5.00,,$ 4.40,No,,,,No,Si
PARACETAMOL 500MG TABLETA(10),paracetamol-500mg-tableta,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900443,,,,,,Si,SJ2557,,01/10/2027,Si,3.00,,0.00,,$ 50.00,$ 5.00,,$ 4.40,No,,,,No,Si
PARACETAMOL 500MG TABLETA (10),paracetamol-tab-500-mg-10,No,Si,NOVAG,MEDICAMENTO,,Unidad,7501075710250,,,,,,Si,,,,Si,0.00,,,,$ 50.00,$ 6.00,,$ 5.89,Si,16%,No aplica,,No,Si
PARACETAMOL 3.2G/100 ML SOLUCION,paracetamol-32g100-ml-solucion,No,Si,BIOMEP,MEDICAMENTO,WANDEL,Unidad,7503001007663,,,,,,Si,LJ2508,,01/10/2027,Si,1.00,,0.00,,$ 90.00,$ 15.00,,$ 14.99,No,,,,No,Si
PARACETAMOL 3.2G/100 ML SOLUCION,paracetamol-32g100-ml-solucion,No,Si,BIOMEP,MEDICAMENTO,WANDEL,Unidad,7503001007663,,,,,,Si,LK2523,,01/11/2027,Si,1.00,,0.00,,$ 90.00,$ 15.00,,$ 14.99,No,,,,No,Si
PARACETAMOL 3.2G/100ML JARABE,paracetamol-3-2g-100ml-jarabe,No,Si,LOEFFLER,MEDICAMENTO,LOEFFLER,Unidad,7502211780045,,,,,,Si,R2501108,,01/01/2027,Si,0.00,,0.00,,$ 90.00,$ 22.00,,$ 21.89,No,,,,No,Si
PARACETAMOL 3.2G/100 ML JARABE,paracetamol-3-2g-100-ml-jarabe,No,Si,SON´S,MEDICAMENTO,,Unidad,7502001160385,,,,,,Si,,,,Si,0.00,,,,$ 90.00,$ 28.00,,$ 27.28,No,,,,No,Si
PARACETAMOL 100MG/ML SOLUCION ,paracetamol-10g-100ml-solucion,No,Si,COLLIN'S,MEDICAMENTO,WANDEL,Unidad,7503001007649,,,,,,Si,LH2516,,01/08/2027,Si,1.00,,0.00,,$ 85.00,$ 9.00,,$ 8.69,No,,,,No,Si
PARACETAMOL 100MG/1ML SOLUCION (GOTAS),paracetamol-100mg1ml-solucion,No,Si,AVITUS,MEDICAMENTO,ALLEN,Unidad,7502209810297,,,,,,Si,234125015,,01/12/2027,Si,0.00,,0.00,,$ 85.00,$ 13.00,,$ 12.49,No,,,,No,Si
PANTOPRAZOL 40MG TABLETA,pantoprazol-40mg-tableta,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349028364,,,,,,Si,U25J193,,01/06/2027,Si,0.00,,0.00,,$ 95.00,$ 28.00,,$ 27.19,No,,,,No,Si
PANTOPRAZOL 40MG TABLETA,pantoprazzol-40mg-tableta,No,Si,,MEDICAMENTO,INTAS PHARMACEUTICALS LIMITED,Unidad,7506335702471,,,,,,Si,M2410929,,01/11/2026,Si,0.00,,0.00,,$ 95.00,$ 26.00,,$ 25.69,No,,,,No,Si
OXITETRACICLINA 500MG CAPSULA (16),oxitetraciclina-500mg-capsulas,No,Si,RAAM,ANTIBIOTICO,RAAM,Unidad,7502227879597,,,,,,Si,,,,Si,0.00,,,,$ 185.00,$ 101.00,,$ 100.00,No,,,,No,Si
OXIMETAZOLINA 0.05% SOLUCION(ADULTO),oximetazolina-0-05-solucion-adulto,No,Si,COLLINS- (ADULTO),MEDICAMENTO,COLLIN´S,Unidad,780083144302,,,,,,Si,25143080,,01/11/2027,Si,2.00,,0.00,,$ 110.00,$ 37.00,,$ 37.00,No,,,,No,Si
OXIMETAZOLINA 0.025% SOLUCION(INFANTIL),oximetazolina-0-025-solucion-infantil,No,Si,COLLINS- (INFANTIL),MEDICAMENTO,COLLIN´S,Unidad,780083144296,,,,,,Si,25143142,,01/12/2027,Si,2.00,,0.00,,$ 105.00,$ 37.00,,$ 36.61,No,,,,No,Si
OXIDO DE ZINC 25% PASTA,oxido-de-zinc-25-pasta,No,Si,,MEDICAMENTO,ALPHARMA,Unidad,7503004908851,,,,,,Si,2502539,,01/02/2027,Si,0.00,,0.00,,$ 55.00,$ 11.00,,$ 10.69,No,,,,No,Si
OSELTAMIVIR 75MG CAPSULA ,oseltamivir-75mg-capsula,No,Si,COLLIN'S,MEDICAMENTO,,Unidad,780083149857,,,,,,Si,,,,Si,0.00,,,,$ 280.00,$ 127.00,,$ 126.69,No,,,,No,Si
OSELTAMIVIR 75MG CAPSULA,oseltamivir-75mg-capsula_2,No,Si,PHARMAGEN,MEDICAMENTO,MSN LIFE CARE,Unidad,7503040561638,,,,,,Si,DRF03182A,,01/02/2027,Si,2.00,,0.00,,$ 280.00,$ 114.00,,$ 113.50,No,,,,No,Si
ONDASERTRON 8MG/4ML SOLUCION INYECTABLE ,ondasertron-8mg4ml-solucion-inyectable,No,Si,,MEDICAMENTO,,Unidad,,,,,,,No,,,,Si,4.00,,,,$ 65.00,$ 26.00,,$ 25.66,No,,,,No,Si
OMEPRAZOL 40MG/10ML SOLUCION INYECTABLE,omeprazol-40mg-solucion-inyectable_2,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349028234,,,,,,Si,T25J296,,01/05/2027,Si,1.00,,0.00,,$ 115.00,$ 32.00,,$ 31.69,No,,,,No,Si
OMEPRAZOL 40MG/10ML SOLUCION INYECTABLE,omeprazol-40mg-solucion-inyectable_2,No,Si,AMSA,MEDICAMENTO,AMSA,Unidad,7501349028234,,,,,,Si,T25S049,,01/06/2027,Si,3.00,,0.00,,$ 115.00,$ 32.00,,$ 31.69,No,,,,No,Si
OMEPRAZOL 40MG/10ML SOLUCION INYECTABLE,7502213042158,No,Si,FARMACEUTICA HISPANOAMERICANA,MEDICAMENTO,PHAEMASERVICE,Unidad,7502245840005,,,,,,Si,,,,Si,0.00,,,,$ 115.00,$ 31.00,,$ 30.79,No,,,,No,Si
OMEPRAZOL 20MG CAPSULA(30),omeprazol-20mg-capsula-30,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216792760,,,,,,Si,5KN369A,,10/01/2028,Si,4.00,,0.00,,$ 95.00,$ 17.00,,$ 16.79,No,,,,No,Si
OMEPRAZOL 20MG CAPSULA (30),omeprazol-20mg-capsula_3,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216804012,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 19.00,,$ 18.89,No,,,,No,Si
OMEPRAZOL 20MG CAPSULA (30),omeprazol-20-mg-30,No,Si,ULTRA LABORATORIO,MEDICAMENTO,ULTRA,Unidad,7502216790322,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 19.00,,$ 18.99,No,,,,No,Si
OMEPRAZOL 20MG CAPSULA (14),omeprazol-20mg-capsula_2,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216792555,,,,,,Si,,,,Si,0.00,,,,$ 60.00,$ 12.00,,$ 11.09,No,,,,No,Si
OMEPRAZOL 20MG CAPSULA (14),omeprazol-20mg-capsulas-14,No,Si,AVIVIA ,MEDICAMENTO,,Unidad,7502216804005,,,,,,Si,,,,Si,0.00,,,,$ 60.00,$ 9.00,,$ 8.50,No,,,,No,Si
OLANZAPINA 10MG TABLETA,olanzapina-10mg-tableta,No,Si,MAVER,MEDICAMENTO,,Unidad,,,,,,,Si,,,,Si,0.00,,,,$ 98.00,$ 20.00,,$ 20.00,No,,,,No,Si
OFLOXACINO 400MG TABLETA,ofloxacino-400mg-tableta,No,Si,MAVI,ANTIBIOTICO,,Unidad,785118753887,,,,,,Si,,,,Si,0.00,,,,$ 105.00,$ 24.00,,$ 23.12,No,,,,Si,Si
NORFLOXACINO 400MG TABLETA,norfloxacino-400mg-tableta,No,Si,MAVI,ANTIBIOTICO,MAVI,Unidad,785120755497,,,,,,Si,5G1250,,01/07/2027,Si,1.00,,0.00,,$ 155.00,$ 48.00,,$ 47.89,No,,,,Si,Si
NORFLOXACINO 400MG TABLETA,norfloxacino-400mg-tableta,No,Si,MAVI,ANTIBIOTICO,MAVI,Unidad,785120755497,,,,,,Si,4F1126,,01/06/2026,Si,1.00,,0.00,,$ 155.00,$ 48.00,,$ 47.89,No,,,,Si,Si
NORFENEFRINA 10MG/ML SOLUCION (GOTAS),norfenefrina-10mgml,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009744891,,,,,,Si,237357,,01/10/2025,Si,0.00,,0.00,,$ 110.00,$ 66.00,,$ 65.29,No,,,,No,Si
NITROFURANTOINA 100MG CAPSULA (40),nitrofurantoina-100mg-capsula,No,Si,MAVI,ANTIBIOTICO,MAVI,Unidad,785120753349,,,,,,Si,5I1688,,01/09/2027,Si,1.00,,0.00,,$ 175.00,$ 66.00,,$ 65.19,No,,,,Si,Si
NITROFURANTOINA 100MG CAPSULA (40),nitrofurantoina-100mg-capsulav-40,No,Si,,ANTIBIOTICO,BIORESEARCH,Unidad,7501563310399,,,,,,Si,22948,,01/06/2027,Si,0.00,,0.00,,$ 175.00,$ 53.00,,$ 52.19,No,,,,Si,Si
NITROFURANTOINA 0.5G/100ML SUSPENSION,nitrofurantoina-0-5g-100ml-suspension,No,Si,ARLEX,ANTIBIOTICO,,Unidad,7501672602132,,,,,,Si,,,,Si,0.00,,,,$ 395.00,$ 284.00,,$ 283.59,No,,,,Si,Si
NITAXOZANIDA 500MG TABLETA,nitaxozanida-500mg-tableta,No,Si,RUSSEK,MEDICAMENTO,LOEFFLER,Unidad,7502211783954,,,,,,Si,R2507942,,01/07/2027,Si,3.00,,0.00,,$ 155.00,$ 48.00,,$ 47.39,No,,,,No,Si
NITAXOZANIDA 100MG/5ML SUSPENSION,nitaxozanida-100mg-5ml-suspension,No,Si,QUIMPHARMA ,MEDICAMENTO,QUIMPHARMA,Unidad,7502223111073,,,,,,Si,25KY12,,01/11/2027,Si,1.00,,0.00,,$ 115.00,$ 40.00,,$ 39.49,No,,,,No,Si
"NISTATINA 100,000 UI/ML SUSPENSION",nistatina-100-000-ui-ml-suspension,No,Si,ALPHARMA,MEDICAMENTO,ALPHARMA,Unidad,7503003134701,,,,,,Si,2510253,,01/10/2027,Si,2.00,,0.00,,$ 120.00,$ 32.00,,$ 31.99,No,,,,No,Si
NIFEDIPINO 30MG COMPRIMIDOS,nifedipino-30mg-comprimidos,No,Si,AVIVIA,MEDICAMENTO,,Unidad,7502216803978,,,,,,Si,,,,Si,0.00,,,,$ 105.00,$ 23.00,,$ 22.82,No,,,,No,Si
NIFEDIPINO 30MG COMPRIMIDO,nifedipino-30mg-comprimido,No,Si,ULTRA,MEDICAMENTO,ULTRA,Unidad,7502216796331,,,,,,Si,5CN154A,,01/03/2027,Si,0.00,,0.00,,$ 105.00,$ 47.00,,$ 46.19,No,,,,No,Si
NIFEDIPINO 30MG COMPRIMIDO,nifedipino-30mg-comprimido_2,No,Si,ULTRA,MEDICAMENTO,,Unidad,7502216809857,,,,,,Si,,,,Si,0.00,,,,$ 105.00,$ 38.00,,$ 32.22,No,,,,No,Si
NIFEDIPINO 10MG CAPSULA,nifedipino-10mg-capsula,No,Si,TENOFARMA ,MEDICAMENTO,TECNOFARMA,Unidad,7501471888089,,,,,,Si,,,,Si,0.00,,,,$ 65.00,$ 28.00,,$ 27.33,No,,,,No,Si
NEOMICINA/ CAOLIN/ PECTINA 129MG/280MG/30MG TABLETA,neomicina-caolin-pectina-129mg-280mg-30mg-tableta,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,,Unidad,7501825300519,,,,,,Si,,,,Si,0.00,,,,$ 110.00,$ 51.00,,$ 50.39,No,,,,No,Si
NEOMICINA-CAOLIN-PECTINA 129MG/280MG/30MG TABLETA,neomicina-caolin-pectina-129mg280mg30mg-tableta,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075722253,,,,,,Si,940245,,01/03/2027,Si,0.00,,0.00,,$ 110.00,$ 49.00,,$ 48.99,No,,,,No,Si
NEOMICINA/ CAOLIN/ PECTINA 0.733G/10.0G/0.700G/ 100ML SUSPENSION,neomicina-caolin-pectina-0-733g-10-0g-0-700g-100ml-suspension,No,Si,NOVAG,MEDICAMENTO,NOVAG,Unidad,7501075717914,,,,,,Si,460015,,01/02/2027,Si,0.00,,0.00,,$ 120.00,$ 24.00,,$ 23.99,No,,,,No,Si
NEOMICINA/ CAOLIN/ PECTINA 0.71G-20G-1G/100ML SUSPENSION,neomicina-caolin-pectina-0-71g-20g-1g-100ml-suspension,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825300618,,,,,,Si,269C,,01/03/2027,Si,0.00,,0.00,,$ 120.00,$ 34.00,,$ 33.29,No,,,,No,Si
NEBULIZACION C/U,nebulizacion-c-u,No,Si,,MATERIAL DE CURACION,,Unidad,105,,,,,,No,,,,Si,3.00,1.00,,,$ 100.00,$ 10.00,,$ 10.00,No,,,,No,Si
NAPROXENO SODICO 550MG TABLETA,naproxeno-sodico-550mg-tableta,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573908104,,,,,,Si,SH2502,,01/08/2027,Si,2.00,,0.00,,$ 75.00,$ 21.00,,$ 20.80,No,,,,No,Si
NAPROXENO SODICO 550MG TABLETA,naproxeno-sodico-550mg-tableta_2,No,Si,VITAE LABORATORIOS,MEDICAMENTO,,Unidad,7501478315397,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 21.00,,$ 20.69,No,,,,No,Si
NAPROXENO SODICO 550MG TABLETA,naproxeno-550mg-tableta,No,Si,BIOMEP,MEDICAMENTO,,Unidad,7506449300051,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 28.00,,$ 27.49,No,,,,No,Si
NAPROXENO SODICO 250MG TABLETA,naproxeno-250-mg,No,Si,BIOMEP,MEDICAMENTO,,Unidad,7501573900467,,,,,,Si,,,,Si,0.00,,,,$ 55.00,$ 13.00,,$ 12.22,No,,,,No,Si
NAPROXENO SODICO 250MG TABLETA,naproxeno-250mg-tableta,No,Si,,MEDICAMENTO,MAVER,Unidad,7502009740176,,,,,,Si,2578,,01/05/2026,Si,2.00,,0.00,,$ 55.00,$ 20.00,,$ 19.20,No,,,,No,Si
NAPROXENO/ PARACETAMOL 300MG/275MG TABLETA,naproxeno-sodic0-paracetamol-300mg-275mg-tableta,No,Si,BIOMEP,MEDICAMENTO,BIOMEP,Unidad,7501573900177,,,,,,Si,SI2524,,01/09/2027,Si,5.00,,0.00,,$ 75.00,$ 15.00,,$ 14.39,No,,,,No,Si
NAPROXENO/ PARACETAMOL 300MG/ 275MG TABLETA,naproxeno-paracetamol-300mg-275mg-tableta,No,Si,BRULUART,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825300748,,,,,,Si,,,,Si,0.00,,,,$ 75.00,$ 37.00,,$ 36.89,No,,,,No,Si
NAPROXENO/PARACETAMOL 300/275 TABLETAS ,naproxenoparacetamol-300275-tabletas,No,Si,RAAM,MEDICAMENTO,,Unidad,7502227879603,,,,,,No,,,,Si,0.00,,,,$ 75.00,$ 21.00,,$ 20.79,No,,,,No,Si
NAPROXENO/ PARACETAMOL 125MG/100MG/5ML SUSPENSION,naproxeno-paracetamol-125mg-100mg-5ml-suspension,No,Si,DEGORT'S CHEMICAL,MEDICAMENTO,DEGORT´S CHEMICAL,Unidad,7501825300717,,,,,,Si,240C,,01/03/2028,Si,0.00,,0.00,,$ 125.00,$ 38.00,,$ 37.69,No,,,,No,Si
NAPROXENO/ PARACETAMOL 125MG/100MG/5 ML SOLUCION,naproxeno-paracetamol-125-100-5-ml-solucion,No,Si,SONS,MEDICAMENTO,,Unidad,7502001165595,,,,,,Si,,,,Si,0.00,,,,$ 125.00,$ 34.00,,$ 33.69,No,,,,No,Si
NAPROXENO/ PARACETAMOL 100mg-125mg/5mL SUSPENSION,paracetamol-naproxeno-100mg125mg5ml,No,Si,BRULUART,MEDICAMENTO,BRULUART,Unidad,7501537103354,,,,,,Si,2512031,,08/12/2027,Si,3.00,,0.00,,$ 125.00,$ 38.00,,$ 37.69,No,,,,No,Si
NAPROXENO/ LIDOCAINA 10G/2G GEL,naproxeno-lidocaina-10g-2g-gel,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009745539,,,,,,Si,251782,,01/04/2027,Si,0.00,,0.00,,$ 98.00,$ 38.00,,$ 37.29,No,,,,No,Si
NAPROXENO-CARISOPRODOL 250MG/200MG CAPSULAS,naproxeno-carisoprodol-250mg200mg-capsulas,No,Si,MAVI,MEDICAMENTO,,Unidad,785120754483,,,,,,Si,,,,Si,0.00,,,,$ 160.00,$ 75.00,,$ 74.19,No,,,,No,Si
NAFAZOLINA 1MG/ML SOLUCION ,nafazolina-1mg-ml-solucion,No,Si,COLLINS- (GOTAS OFTALMICAS),MEDICAMENTO,,Unidad,780083144807,,,,,,Si,,,,Si,0.00,,,,$ 95.00,$ 30.00,,$ 29.23,No,,,,No,Si
MUPIROCINA 2% UNGUENTO,mupirocina-2-unguento,No,Si,MAVER,MEDICAMENTO,MAVER,Unidad,7502009745836,,,,,,Si,253290,,01/07/2027,Si,0.00,,0.00,,$ 175.00,$ 86.00,,$ 85.39,No,,,,No,Si
MUPIROCINA 2% UNGUENTO,mupirocina-2-unguento_2,No,Si,SERRAL,MEDICAMENTO,SERRAL,Unidad,7501258207584,,,,,,Si,251692,,01/10/2027,Si,2.00,,0.00,,$ 175.00,$ 83.00,,$ 82.39,No,,,,No,Si
MULTIVITAMINICO SOLUCION INYECTABLE,multivitaminico-solucion-inyectable,No,Si,,MEDICAMENTO,,Unidad,,,,,,,No,,,,Si,1.00,0.00,,,$ 360.00,$ 214.00,,$ 213.00,No,,,,No,Si
MOXIFLOXACINO 400MG TABLETA,moxifloxacino-400mg-tableta,No,Si,CAMBER,ANTIBIOTICO,,Unidad,7506442700742,,,,,,Si,,,,Si,0.00,,,,$ 315.00,$ 112.00,,$ 111.54,No,,,,Si,Si
MOXIFLOXACINO 400MG TABLETA,moxifloxacino-400mg-tableta_2,No,Si,RAAM,ANTIBIOTICO,RAAM,Unidad,7502227877722,,,,,,Si,,,,Si,0.00,,,,$ 315.00,$ 112.00,,$ 111.09,No,,,,Si,Si
MOXIFLOXACINO 400MG TABLETA,moxifloxacino-400mg-tabelta,No,Si,DEGORT'S CHEMICAL,ANTIBIOTICO,AMSA,Unidad,7501349018150,,,,,,Si,U24S663,,01/09/2026,Si,1.00,,0.00,,$ 315.00,$ 158.00,,$ 157.99,No,,,,Si,Si
MONTELUKAST 10MG TABLETA (30),montelukast-comp-10mh-20-comp,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227875957,,,,,,Si,RK098,,01/12/2026,Si,0.00,,0.00,,$ 300.00,$ 34.00,,$ 33.49,No,,,,No,Si
MONTELUKAST 10MG TABLETA (30),montelukast-comp-10mh-20-comp,No,Si,,MEDICAMENTO,RAAM,Unidad,7502227875957,,,,,,Si,RK101,,01/02/2027,Si,0.00,,0.00,,$ 300.00,$ 34.00,,$ 33.49,No,,,,No,Si
MONTELUKAST 10MG TABLETA (20),montelukast-10mg-tableta-20,No,Si,,MEDICAMENTO,CORNE,Unidad,7503044633133,,,,,,Si,250617,,01/06/2027,Si,0.00,,0.00,,$ 250.00,$ 29.00,,$ 28.59,No,,,,No,Si
MONTELUKAST 10MG TABLETA (20),montelukast-10mg-tableta-20_2,No,Si,,MEDICAMENTO,COLLIN´S,Unidad,780083148904,,,,,,Si,25142183,,01/09/2027,Si,2.00,,0.00,,$ 250.00,$ 31.00,,$ 30.09,No,,,,No,Si
MONTELUKAST 10MG COMPRIMIDO,montelukast-10mg-comprimido,No,Si,,MEDICAMENTO,MAVER,Unidad,7502009744433,,,,,,Si,251679,,01/03/2027,Si,0.00,,0.00,,$ 250.00,$ 34.00,,$ 33.19,No,,,,No,Si
MOMETASONA 50 UG SUSPENSION ,mometasona-50-ug-suspension,No,Si,,MEDICAMENTO,HISPANOAMERICANA,Unidad,7502213042813,,,,,,Si,5J812,,01/10/2027,Si,2.00,,0.00,,$ 190.00,$ 93.00,,$ 92.99,No,,,,No,Si
MOMETASONA 0.5MG/ML SUSPENSION,mometasona-05mgml-suspension,No,Si,,MEDICAMENTO,DANKEL MEDICAL,Unidad,7502256040197,,,,,,Si,E25308,,01/05/2027,Si,0.00,,0.00,,$ 190.00,$ 77.00,,$ 76.89,No,,,,No,Si
