,Tarifa: Conv Empresa A,,,
,,,,
Tipo,Código,Abreviatura,Descripción,Importe
Perfiles,2471,PGINE6,PERFIL GINECOLÃ“GICO,1020
Perfiles,HELICO,HELICO,PERFIL HELICOBACTER PYLORI,2330
Perfiles,PERFHEP,PERFHEP,PERFIL HEPATICO,605
Perfiles,1341,PERFHFEM,PERFIL HORMONAL FEMENINO,2095
Perfiles,1832,PERF. HFC,PERFIL HORMONAL FEMENINO COMPLETO,2455
Perfiles,2954-ORT,PHORMMASC,PERFIL HORMONAL MASCULINO,975
Perfiles,4446,PERFILPROS,PERFIL PROSTATICO II,740
Perfiles,PERFREU,PERFREU,PERFIL REUMATICO,555
Perfiles,PTIR IV 419,PTIR,PERFIL TIROIDEO,860
Perfiles,1688 PTIR II,PTIR II,PERFIL TIROIDEO  II,1155
Perfiles,PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,3190
Perfiles,654465,PERES,PERFIL VIRAL RESPIRATORIO,800
Perfiles,PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,430
Perfiles,PRENUPCIAL 1 INDIVIDUAL,PREN,PRENUPCIAL,245
Perfiles,230,PROTEINASTOTALESORINA24HRS,PROTEINAS TOTALES ORINA 24 HRS,425
Perfiles,QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,560
Perfiles,195,QS19,QUIMICA SANGUINEA 19 ELEMENTOS,785
Perfiles,QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,130
Perfiles,QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,1230
Perfiles,QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,200
Perfiles,QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,345
Perfiles,QSCAN,QSC,QUIMICA SANGUINEA CANINO,335
Perfiles,QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,225
Perfiles,RF,RF,REACCIONES FEBRILES,150
Perfiles,3513,HOMA,Resistencia a la insulina por Ã­ndice HOMA,465
Perfiles,RETSSS,RETSS,RETICULOCITOS,125
Perfiles,COVID19,COVID19,SARS-CoV2 IgG/IgM,495
Perfiles,11111,testdeOSullivan,Tamiz de OÂ´Sullivan,335
Perfiles,tametaba,tametaba,TAMIZ METABOLICO NEONATAL BÃSICO,1065
Perfiles,11,TAMNEOAMP,TAMIZ NEONATAL AMPLIADO,3020
